Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Scalable Platform for Monitoring Data Intensive Applications","Journal of Grid Computing","","17","3","10.1007/s10723-019-09483-1","Ioan DrăganGabriel IuhaszDana Petcu","2019","http://link.springer.com/article/10.1007/s10723-019-09483-1","Article"
"Syntax-Guided Optimal Synthesis for Chemical Reaction Networks","Computer Aided Verification","","","","10.1007/978-3-319-63390-9_20","Luca CardelliMilan ČeškaMartin FränzleMarta KwiatkowskaLuca LaurentiNicola PaolettiMax Whitby","2017","http://link.springer.com/chapter/10.1007/978-3-319-63390-9_20","Chapter"
"Quasi-Regression Monte-Carlo Scheme for Semi-Linear PDEs and BSDEs with Large Scale Parallelization on GPUs","Archives of Computational Methods in Engineering","","","","10.1007/s11831-019-09335-x","Emmanuel GobetJosé Germán López-SalasCarlos Vázquez","2019","http://link.springer.com/article/10.1007/s11831-019-09335-x","Article"
"Abstracts","European Biophysics Journal","","46","1","10.1007/s00249-017-1222-x","","2017","http://link.springer.com/article/10.1007/s00249-017-1222-x","Article"
"Airline networks, traffic densities, and value of links","Quantitative Marketing and Economics","","16","3","10.1007/s11129-018-9197-1","Yanhao Wei","2018","http://link.springer.com/article/10.1007/s11129-018-9197-1","Article"
"Furnace: Self-service Tenant VMI for the Cloud","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-030-00470-5_30","Micah BushouseDouglas Reeves","2018","http://link.springer.com/chapter/10.1007/978-3-030-00470-5_30","Chapter"
"Magnetic Mn2O3 nanocomposite covered with N,N′-bis(salicylidene)ethylenediamine for selective preconcentration of cadmium(II) prior to its quantification by FAAS","Microchimica Acta","","186","8","10.1007/s00604-019-3567-6","Parastoo JamshidiMahrouz AlvandFarzaneh Shemirani","2019","http://link.springer.com/article/10.1007/s00604-019-3567-6","Article"
"Multi-index Stochastic Collocation Convergence Rates for Random PDEs with Parametric Regularity","Foundations of Computational Mathematics","","16","6","10.1007/s10208-016-9327-7","Abdul-Lateef Haji-AliFabio NobileLorenzo TamelliniRaúl Tempone","2016","http://link.springer.com/article/10.1007/s10208-016-9327-7","Article"
"Composite Structure Design and Analysis","Composite Materials Engineering, Volume 1","","","","10.1007/978-981-10-5696-3_4","Zhen ShenXianxin TongNaibin YangMingjiu XieYe LiPuhui Chen","2018","http://link.springer.com/chapter/10.1007/978-981-10-5696-3_4","Chapter"
"Constraint-Guided Local Search for Single Mixed-Operation Runway","AI 2018: Advances in Artificial Intelligence","","","","10.1007/978-3-030-03991-2_32","Vahid RiahiM. A. Hakim NewtonAbdul Sattar","2018","http://link.springer.com/chapter/10.1007/978-3-030-03991-2_32","Chapter"
"Abstracts of the 26th Annual Conference of APASL, February 15–19, 2017, Shanghai, China","Hepatology International","","11","1","10.1007/s12072-016-9783-9","","2017","http://link.springer.com/article/10.1007/s12072-016-9783-9","Article"
"The Assessment of Sencogi: A Visual Complexity Model Predicting Visual Fixations","Human-Computer Interaction. Recognition and Interaction Technologies","","","","10.1007/978-3-030-22643-5_26","Maria Laura MeleSilvia ColabreseLuca CalabriaDamon MillarChristiaan Erik Rijnders","2019","http://link.springer.com/chapter/10.1007/978-3-030-22643-5_26","Chapter"
"Fast random field generation with H-matrices","Numerische Mathematik","","140","3","10.1007/s00211-018-0974-2","Michael FeischlFrances Y. KuoIan H. Sloan","2018","http://link.springer.com/article/10.1007/s00211-018-0974-2","Article"
"Aerospace Applications","Model-Reference Adaptive Control","","","","10.1007/978-3-319-56393-0_10","Nhan T. Nguyen","2018","http://link.springer.com/chapter/10.1007/978-3-319-56393-0_10","Chapter"
"A combination of IoT and cloud application for automatic shrimp counting","Microsystem Technologies","","","","10.1007/s00542-019-04570-5","Chi-Tsai YehMing-Chih Chen","2019","http://link.springer.com/article/10.1007/s00542-019-04570-5","Article"
"Scheduling Business Process Activities for Time-Aware Cloud Resource Allocation","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02610-3_25","Rania Ben HalimaSlim KallelWalid GaaloulMohamed Jmaiel","2018","http://link.springer.com/chapter/10.1007/978-3-030-02610-3_25","Chapter"
"All About Wave Equations","Directed-Energy Beam Weapons","","","","10.1007/978-3-030-20794-6_2","Bahman Zohuri","2019","http://link.springer.com/chapter/10.1007/978-3-030-20794-6_2","Chapter"
"An Adaptive Energy Detection Scheme with Real-Time Noise Variance Estimation","Circuits, Systems, and Signal Processing","","","","10.1007/s00034-019-01281-0","Libin K. MathewShreejith ShankerA. P. VinodA. S. Madhukumar","2019","http://link.springer.com/article/10.1007/s00034-019-01281-0","Article"
"All About Wave Equations","Scalar Wave Driven Energy Applications","","","","10.1007/978-3-319-91023-9_3","Bahman Zohuri","2019","http://link.springer.com/chapter/10.1007/978-3-319-91023-9_3","Chapter"
"Intelligent Sliding-Mode Position Control Using Recurrent Wavelet Fuzzy Neural Network for Electrical Power Steering System","International Journal of Fuzzy Systems","","19","5","10.1007/s40815-017-0342-x","Faa-Jeng LinShih-Gang ChenI-Fan Sun","2017","http://link.springer.com/article/10.1007/s40815-017-0342-x","Article"
"Strong and weak convergence order of finite element methods for stochastic PDEs with spatial white noise","Numerische Mathematik","","134","1","10.1007/s00211-015-0768-8","Zhongqiang ZhangBoris RozovskiiGeorge Em Karniadakis","2016","http://link.springer.com/article/10.1007/s00211-015-0768-8","Article"
"Cap integration in spectral gravity forward modelling: near- and far-zone gravity effects via Molodensky’s truncation coefficients","Journal of Geodesy","","93","1","10.1007/s00190-018-1139-x","Blažej BuchaChristian HirtMichael Kuhn","2019","http://link.springer.com/article/10.1007/s00190-018-1139-x","Article"
"Computational cognitive modeling of the temporal dynamics of fatigue from sleep loss","Psychonomic Bulletin & Review","","24","6","10.3758/s13423-017-1243-6","Matthew M. WalshGlenn GunzelmannHans P. A. Van Dongen","2017","http://link.springer.com/article/10.3758/s13423-017-1243-6","Article"
"Semilinear elliptic equations with additive noise","Numerical Methods for Stochastic Partial Differential Equations with White Noise","","","","10.1007/978-3-319-57511-7_10","Zhongqiang ZhangGeorge Em Karniadakis","2017","http://link.springer.com/chapter/10.1007/978-3-319-57511-7_10","Chapter"
"Mixed GPS–BeiDou RTK with inter-systems bias estimation aided by CSAC","GPS Solutions","","22","1","10.1007/s10291-017-0670-1","Nobuaki KuboHiroko TokuraSam Pullen","2017","http://link.springer.com/article/10.1007/s10291-017-0670-1","Article"
"Evolutionary Autopilot Design Approach for UAV Quadrotor by Using GA","Iranian Journal of Science and Technology, Transactions of Electrical Engineering","","","","10.1007/s40998-019-00214-6","M. ZarebW. NouibatY. BestaouiR. AyadY. Bouzid","2019","http://link.springer.com/article/10.1007/s40998-019-00214-6","Article"
"Towards Stream Ciphers for Efficient FHE with Low-Noise Ciphertexts","Advances in Cryptology – EUROCRYPT 2016","","","","10.1007/978-3-662-49890-3_13","Pierrick MéauxAnthony JournaultFrançois-Xavier StandaertClaude Carlet","2016","http://link.springer.com/chapter/10.1007/978-3-662-49890-3_13","Chapter"
"Hybrid Amine-Functionalized Titania/Silica Nanoparticles for Solid-Phase Extraction of Lead, Copper, and Zinc from Food and Water Samples: Kinetics and Equilibrium Studies","Food Analytical Methods","","8","4","10.1007/s12161-014-9964-x","Maryam RajabiBehruz BarfiAlireza AsghariFarhood NajafiReza Aran","2015","http://link.springer.com/article/10.1007/s12161-014-9964-x","Article"
"A New Gravimetric Geoid Model for the Area of Sudan Using the Least Squares Collocation and a GOCE-Based GGM","IGFS 2014","","","","10.1007/1345_2015_196","Walyeldeen GodahJan Krynski","2016","http://link.springer.com/chapter/10.1007/1345_2015_196","Chapter"
"Scalable RADAR-Based Sense-and-Avoid System for Unmanned Aircraft","Handbook of Unmanned Aerial Vehicles","","","","10.1007/978-90-481-9707-1_131","Allistair MosesMatthew J. RutherfordKimon P. Valavanis","2015","http://link.springer.com/referenceworkentry/10.1007/978-90-481-9707-1_131","ReferenceWorkEntry"
"Integrated Process Chain for Aerostructural Wing Optimization and Application to an NLF Forward Swept Composite Wing","AeroStruct: Enable and Learn How to Integrate Flexibility in Design","","","","10.1007/978-3-319-72020-3_1","Tobias WunderlichLars Reimer","2018","http://link.springer.com/chapter/10.1007/978-3-319-72020-3_1","Chapter"
"Consistency and fairness in real-time distributed virtual environments: Paradigms and relationships","Journal of Simulation","","11","3","10.1057/s41273-016-0035-8","Jeremy R. MillarDouglas D. HodsonGilbert L. PetersonDarryl K. Ahner","2017","http://link.springer.com/article/10.1057/s41273-016-0035-8","Article"
"Methods for Protection-Level Evaluation with Augmented Data","GNSS for Rail Transportation","","","","10.1007/978-3-319-79084-8_5","Letizia Lo PrestiMarco Pini","2018","http://link.springer.com/chapter/10.1007/978-3-319-79084-8_5","Chapter"
"Photon-Number-Resolving Transition-Edge Sensors for the Metrology of Quantum Light Sources","Journal of Low Temperature Physics","","193","5 - 6","10.1007/s10909-018-1932-1","M. SchmidtM. von HelversenM. LópezF. GerickeE. SchlottmannT. HeindelS. KückS. ReitzensteinJ. Beyer","2018","http://link.springer.com/article/10.1007/s10909-018-1932-1","Article"
"Introduction to GNSS","Springer Handbook of Global Navigation Satellite Systems","","","","10.1007/978-3-319-42928-1_1","Richard B. LangleyPeter J.G. TeunissenOliver Montenbruck","2017","http://link.springer.com/chapter/10.1007/978-3-319-42928-1_1","Chapter"
"Active Interrogation Probe Technologies","Active Interrogation in Nuclear Security","","","","10.1007/978-3-319-74467-4_5","Robert Garnett","2018","http://link.springer.com/chapter/10.1007/978-3-319-74467-4_5","Chapter"
"High Order Boundary Extrapolation Technique for Finite Difference Methods on Complex Domains with Cartesian Meshes","Journal of Scientific Computing","","66","2","10.1007/s10915-015-0043-2","A. BaezaP. MuletD. Zorío","2016","http://link.springer.com/article/10.1007/s10915-015-0043-2","Article"
"Glossary of Terms","Handbook of Satellite Applications","","","","10.1007/978-3-319-23386-4_108","Joseph N. PeltonScott Madry","2017","http://link.springer.com/referenceworkentry/10.1007/978-3-319-23386-4_108","ReferenceWorkEntry"
"Glossary of Terms","Handbook of Satellite Applications","","","","10.1007/978-1-4614-6423-5_108-1","Joe PeltonScott Madry","2016","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-6423-5_108-1","ReferenceWorkEntry"
"Comparison of Electric Ducted Fans for Future Green Aircrafts","The Proceedings of the 2018 Asia-Pacific International Symposium on Aerospace Technology (APISAT 2018)","","","","10.1007/978-981-13-3305-7_131","Roman PankovJiyong Tang","2019","http://link.springer.com/chapter/10.1007/978-981-13-3305-7_131","Chapter"
"Integrating GLONASS with GPS for Drone Orientation Tracking","Communication Systems and Networks","","","","10.1007/978-3-319-67235-9_7","Mahanth GowdaJustin ManweilerAshutosh DhekneRomit Roy ChoudhuryJustin D. Weisz","2017","http://link.springer.com/chapter/10.1007/978-3-319-67235-9_7","Chapter"
"Role of dissolved organic matter from natural biofilms in oxytetracycline photodegradation","Environmental Science and Pollution Research","","25","30","10.1007/s11356-018-3017-8","Xiuyi HuaZhenhao ZhaoLiwen ZhangDeming DongZhiyong Guo","2018","http://link.springer.com/article/10.1007/s11356-018-3017-8","Article"
"Analysis of Safety Requirements for Small Unmanned Aerial Systems (sUAS)","Handbook of Unmanned Aerial Vehicles","","","","10.1007/978-3-319-32193-6_157-1","Laura Novaro MascarelloFulvia Quagliotti","2018","http://link.springer.com/referenceworkentry/10.1007/978-3-319-32193-6_157-1","ReferenceWorkEntry"
"Synthesis of N-F-codoped TiO2/SiO2 nanocomposites as a visible and sunlight response photocatalyst for simultaneous degradation of organic water pollutants and reduction of Cr (VI)","Journal of Sol-Gel Science and Technology","","89","2","10.1007/s10971-018-4899-0","Sina GhanbariMohammad Hadi GivianradParviz Aberoomand Azar","2019","http://link.springer.com/article/10.1007/s10971-018-4899-0","Article"
"Reliability and damage","Building Habitats on the Moon","","","","10.1007/978-3-319-68244-0_11","Haym Benaroya","2018","http://link.springer.com/chapter/10.1007/978-3-319-68244-0_11","Chapter"
"R2U2: monitoring and diagnosis of security threats for unmanned aerial systems","Formal Methods in System Design","","51","1","10.1007/s10703-017-0275-x","Patrick MoosbruggerKristin Y. RozierJohann Schumann","2017","http://link.springer.com/article/10.1007/s10703-017-0275-x","Article"
"Synthesis and application of a novel magnetic SBA-15 nanosorbent for heavy metal removal from aqueous solutions","Journal of Sol-Gel Science and Technology","","86","1","10.1007/s10971-018-4581-6","Zohreh DahaghinHassan Zavvar MousaviMaryam Sajjadi","2018","http://link.springer.com/article/10.1007/s10971-018-4581-6","Article"
"Synthesis and application of a novel magnetic nanosorbent for determination of trace Cd(II), Ni(II), Pb(II), and Zn(II) in environmental samples","Chemical Papers","","72","6","10.1007/s11696-018-0387-9","Zohreh DahaghinHassan Zavvar MousaviEhsan MirpariziParand Haghighat","2018","http://link.springer.com/article/10.1007/s11696-018-0387-9","Article"
"Determination of Trace Amounts of Cd(II), Cu(II), and Ni(II) in Food Samples Using a Novel Functionalized Magnetic Nanosorbent","Food Analytical Methods","","9","4","10.1007/s12161-015-0264-x","Hasan BagheriAli Akbar AsgharinezhadHomeira Ebrahimzadeh","2016","http://link.springer.com/article/10.1007/s12161-015-0264-x","Article"
"Optimal 
                
                  
                
                $$L_2$$
                
                  
                    
                      L
                      2
                    
                  
                
              -norm empirical importance weights for the change of probability measure","Statistics and Computing","","27","3","10.1007/s11222-016-9644-3","Sergio AmaralDouglas AllaireKaren Willcox","2017","http://link.springer.com/article/10.1007/s11222-016-9644-3","Article"
"A niching behaviour-based algorithm for multi-level manufacturing service composition optimal-selection","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-019-01250-0","Tao DingGuangrong YanYi LeiXiangyu Xu","2019","http://link.springer.com/article/10.1007/s12652-019-01250-0","Article"
"Contaminant Attenuation and Natural Aquifer Treatment","Anthropogenic Aquifer Recharge","","","","10.1007/978-3-030-11084-0_7","Robert G. Maliva","2020","http://link.springer.com/chapter/10.1007/978-3-030-11084-0_7","Chapter"
"An Overview of System Safety Assessment","Dependability in Medicine and Neurology","","","","10.1007/978-3-319-14968-4_2","Nikhil Balakrishnan","2015","http://link.springer.com/chapter/10.1007/978-3-319-14968-4_2","Chapter"
"The Environment of Space Exploration","Space Physiology and Medicine","","","","10.1007/978-1-4939-6652-3_2","Arnauld E. Nicogossian MD, FACPM, FACP","2016","http://link.springer.com/chapter/10.1007/978-1-4939-6652-3_2","Chapter"
"On the hindered settling of sand-mud suspensions","Ocean Dynamics","","67","3 - 4","10.1007/s10236-017-1034-7","Jeremy SpearmanAndrew J. Manning","2017","http://link.springer.com/article/10.1007/s10236-017-1034-7","Article"
"Modeling the influence of land surface flux on the regional climate of the Tibetan Plateau","Theoretical and Applied Climatology","","125","1 - 2","10.1007/s00704-015-1495-x","Weiqiang MaYaoming Ma","2016","http://link.springer.com/article/10.1007/s00704-015-1495-x","Article"
"Preconcentration of Lead in Blood and Urine Samples Among Bladder Cancer Patients Using Mesoporous Strontium Titanate Nanoparticles","Biological Trace Element Research","","","","10.1007/s12011-019-01704-8","Wael I. MortadaAmr M. Abdelghany","2019","http://link.springer.com/article/10.1007/s12011-019-01704-8","Article"
"Focal Flow: Velocity and Depth from Differential Defocus Through Motion","International Journal of Computer Vision","","126","10","10.1007/s11263-017-1051-5","Emma AlexanderQi GuoSanjeev KoppalSteven J. GortlerTodd Zickler","2018","http://link.springer.com/article/10.1007/s11263-017-1051-5","Article"
"Code-Carrier Divergence Monitoring for BeiDou Ground-Based Augmentation System","China Satellite Navigation Conference (CSNC) 2015 Proceedings: Volume II","","","","10.1007/978-3-662-46635-3_23","Lin ZhaoWeixin YangLiang LiFuxin Yang","2015","http://link.springer.com/chapter/10.1007/978-3-662-46635-3_23","Chapter"
"Virtual Testing of Composite Structures: Progress and Challenges in Predicting Damage, Residual Strength and Crashworthiness","The Structural Integrity of Carbon Fiber Composites","","","","10.1007/978-3-319-46120-5_24","Brian G. FalzonWei Tan","2017","http://link.springer.com/chapter/10.1007/978-3-319-46120-5_24","Chapter"
"Adaptive Control of Unmanned Aerial Vehicles: Theory and Flight Tests","Handbook of Unmanned Aerial Vehicles","","","","10.1007/978-90-481-9707-1_61","Suresh K. KannanGirish Vinayak ChowdharyEric N. Johnson","2015","http://link.springer.com/referenceworkentry/10.1007/978-90-481-9707-1_61","ReferenceWorkEntry"
"Investigating the inclusion properties of aromatic amino acids complexing beta-cyclodextrins in model peptides","Amino Acids","","47","10","10.1007/s00726-015-2003-4","Jolanda Valentina CasoLuigi RussoMaddalena PalmieriGaetano MalgieriStefania GaldieroAnnarita FalangaCarla IserniaRosa Iacovino","2015","http://link.springer.com/article/10.1007/s00726-015-2003-4","Article"
"Receiver Architecture","Springer Handbook of Global Navigation Satellite Systems","","","","10.1007/978-3-319-42928-1_13","Bernd EissfellerJong-Hoon Won","2017","http://link.springer.com/chapter/10.1007/978-3-319-42928-1_13","Chapter"
"Development of a potential vortex-hazard index to predict cruise-level wake turbulence encounters","Sādhanā","","44","4","10.1007/s12046-019-1069-1","J SaravanakumarC Arshad ShameemT N Venkatesh","2019","http://link.springer.com/article/10.1007/s12046-019-1069-1","Article"
"Mixed Integer Nonlinear Programming for Aircraft Conflict Avoidance by Applying Velocity and Altitude Changes","Arabian Journal for Science and Engineering","","44","10","10.1007/s13369-019-03911-w","Junling CaiNing Zhang","2019","http://link.springer.com/article/10.1007/s13369-019-03911-w","Article"
"Combustion Characteristics of Materials and Generation of Fire Products","SFPE Handbook of Fire Protection Engineering","","","","10.1007/978-1-4939-2565-0_36","Mohammed M. KhanArchibald TewarsonMarcos Chaos","2016","http://link.springer.com/chapter/10.1007/978-1-4939-2565-0_36","Chapter"
"Multipath","Springer Handbook of Global Navigation Satellite Systems","","","","10.1007/978-3-319-42928-1_15","Michael S. Braasch","2017","http://link.springer.com/chapter/10.1007/978-3-319-42928-1_15","Chapter"
"Learning Policies for Resolving Demand-Capacity Imbalances During Pre-tactical Air Traffic Management","Multiagent System Technologies","","","","10.1007/978-3-319-64798-2_15","Theocharis KravarisGeorge A. VourosChristos SpatharisKonstantinos BlekasGeorgios ChalkiadakisJose Manuel Cordero Garcia","2017","http://link.springer.com/chapter/10.1007/978-3-319-64798-2_15","Chapter"
"Semantic-aware aircraft trajectory prediction using flight plans","International Journal of Data Science and Analytics","","","","10.1007/s41060-019-00182-4","Harris GeorgiouNikos PelekisStylianos SideridisDavid ScarlattiYannis Theodoridis","2019","http://link.springer.com/article/10.1007/s41060-019-00182-4","Article"
"Adaptive Resource Provisioning and Auto-scaling for Cloud Native Software","Information and Software Technologies","","","","10.1007/978-3-319-99972-2_9","Olesia PozdniakovaDalius MažeikaAurimas Cholomskis","2018","http://link.springer.com/chapter/10.1007/978-3-319-99972-2_9","Chapter"
"Computing Resource Allocation with PEADGA","Configurable Intelligent Optimization Algorithm","","","","10.1007/978-3-319-08840-2_10","Yuanjun LailiFei TaoLin Zhang","2015","http://link.springer.com/chapter/10.1007/978-3-319-08840-2_10","Chapter"
"Multidisciplinary optimization of an NLF forward swept wing in combination with aeroelastic tailoring using CFRP","CEAS Aeronautical Journal","","8","4","10.1007/s13272-017-0266-z","Tobias WunderlichSascha DähneLars HeinrichLars Reimer","2017","http://link.springer.com/article/10.1007/s13272-017-0266-z","Article"
"POR-2P: Network Coding-Based POR for Data Provision-Payment System","Risks and Security of Internet and Systems","","","","10.1007/978-3-319-31811-0_12","Kazumasa OmoteTran Phuong Thao","2016","http://link.springer.com/chapter/10.1007/978-3-319-31811-0_12","Chapter"
"Integration in Space Meteorology","Global Satellite Meteorological Observation (GSMO) Applications","","","","10.1007/978-3-319-67047-8_7","Stojče Dimov Ilčev","2019","http://link.springer.com/chapter/10.1007/978-3-319-67047-8_7","Chapter"
"Nanostructured Pd-Based Electrocatalyst and Membrane Electrode Assembly Behavior in a Passive Direct Glycerol Fuel Cell","Nanoscale Research Letters","","14","1","10.1186/s11671-019-2871-8","N. YahyaS. K. KamarudinN. A. KarimS. BasriA. M. Zanoodin","2019","http://link.springer.com/article/10.1186/s11671-019-2871-8","Article"
"Marine Fog: A Review on Microphysics and Visibility Prediction","Marine Fog: Challenges and Advancements in Observations, Modeling, and Forecasting","","","","10.1007/978-3-319-45229-6_7","Ismail GultepeJason A. MilbrandtBinbin Zhou","2017","http://link.springer.com/chapter/10.1007/978-3-319-45229-6_7","Chapter"
"Wideband nested cross approximation for Helmholtz problems","Numerische Mathematik","","130","1","10.1007/s00211-014-0656-7","M. BebendorfC. KuskeR. Venn","2015","http://link.springer.com/article/10.1007/s00211-014-0656-7","Article"
